movie_id,title,genre,production_budget_crore,screen_count,opening_weekend_revenue_crore
MV0001,Movie_1,Family,45,915,11.38
MV0002,Movie_2,Drama,117,1818,28.35
MV0003,Movie_3,Family,4,1723,3.73
MV0004,Movie_4,Comedy,135,2481,44.05
MV0005,Movie_5,Family,81,252,0.2
MV0006,Movie_6,Drama,11,889,5.92
MV0007,Movie_7,Family,101,2256,44.26
MV0008,Movie_8,Drama,156,2562,62.29
MV0009,Movie_9,Family,17,347,7.04
MV0010,Movie_10,Action,150,2223,50.4
MV0011,Movie_11,Family,123,1181,40.68
MV0012,Movie_12,Family,109,2983,45.99
MV0013,Movie_13,Drama,126,2873,48.69
MV0014,Movie_14,Action,9,1095,22.65
MV0015,Movie_15,Action,156,2520,64.19
MV0016,Movie_16,Comedy,180,3163,53.38
MV0017,Movie_17,Family,105,539,40.66
MV0018,Movie_18,Drama,22,667,14.24
MV0019,Movie_19,Thriller,11,981,27.63
MV0020,Movie_20,Comedy,85,385,27.61
MV0021,Movie_21,Action,149,2216,55.35
MV0022,Movie_22,Comedy,54,2633,33.0
MV0023,Movie_23,Drama,99,532,27.85
MV0024,Movie_24,,46,2612,20.71
MV0025,Movie_25,Thriller,85,3009,40.55
MV0026,Movie_26,Drama,125,757,37.68
MV0027,Movie_27,Action,60,803,27.24
MV0028,Movie_28,Comedy,65,2167,31.92
MV0029,Movie_29,Thriller,108,297,20.45
MV0030,Movie_30,Drama,31,1666,8.75
MV0031,Movie_31,Family,180,2928,62.51
MV0032,Movie_32,Comedy,83,1548,28.04
MV0033,Movie_33,Family,149,115,37.09
MV0034,Movie_34,Comedy,144,753,43.94
MV0035,Movie_35,Comedy,67,2807,35.28
MV0036,Movie_36,Thriller,67,113,25.72
MV0037,Movie_37,Action,43,2201,35.62
MV0038,Movie_38,Action,47,772,23.26
MV0039,Movie_39,Action,22,1166,14.3
MV0040,Movie_40,Comedy,47,880,26.02
MV0041,Movie_41,Comedy,107,3108,52.58
MV0042,Movie_42,Thriller,22,467,17.32
MV0043,Movie_43,Drama,142,1669,41.79
MV0044,Movie_44,Drama,61,1273,23.32
MV0045,Movie_45,Drama,170,625,31.92
MV0046,Movie_46,Drama,132,2739,47.0
MV0047,Movie_47,Drama,149,2627,35.32
MV0048,Movie_48,Drama,69,2447,19.56
MV0049,Movie_49,Drama,167,3131,55.83
MV0050,Movie_50,Thriller,169,2714,50.27
MV0051,Movie_51,Thriller,50,2505,17.04
MV0052,Movie_52,Action,43,259,17.02
MV0053,Movie_53,Thriller,165,329,30.79
MV0054,Movie_54,Drama,125,2937,58.81
MV0055,Movie_55,Action,122,1184,39.2
MV0056,Movie_56,Thriller,89,852,18.81
MV0057,Movie_57,Comedy,104,289,30.69
MV0058,Movie_58,Thriller,148,2588,53.5
MV0059,Movie_59,Family,31,2715,51.6
MV0060,Movie_60,Family,60,3130,47.33
MV0061,Movie_61,Action,85,809,31.22
MV0062,Movie_62,Action,63,753,32.01
MV0063,Movie_63,Comedy,123,1370,40.69
